STT,Thông tin,Label,thong_tin_norm_vi,tokens_vi,thong_tin_final_vi
120,Hội nghị VietCALL lần thứ nhất đánh dấu một cột mốc quan trọng trong hành trình thúc đẩy đổi mới và hợp tác quốc tế trong lĩnh vực giáo dục ngôn ngữ và công nghệ,Nghiên cứu,hội nghị vietcall lần thứ nhất đánh dấu một cột mốc quan trọng trong hành trình thúc đẩy đổi mới và hợp tác quốc tế trong lĩnh vực giáo dục ngôn ngữ và công nghệ,"['hội_nghị', 'vietcall', 'lần', 'thứ', 'nhất', 'đánh_dấu', 'cột', 'mốc', 'quan_trọng', 'hành_trình', 'thúc_đẩy', 'đổi_mới', 'hợp_tác', 'quốc_tế', 'lĩnh_vực', 'giáo_dục', 'ngôn_ngữ', 'công_nghệ']",hội_nghị vietcall lần thứ nhất đánh_dấu cột mốc quan_trọng hành_trình thúc_đẩy đổi_mới hợp_tác quốc_tế lĩnh_vực giáo_dục ngôn_ngữ công_nghệ
121,Nâng tầm chất lượng giảng dạy: Hội thi giảng viên dạy giỏi GDQP&AN - GDTC tại IUH năm học 2025 - 2026,Tin tức,nâng tầm chất lượng giảng dạy hội thi giảng viên dạy giỏi gdqp an gdtc tại iuh năm học,"['nâng', 'tầm', 'chất_lượng', 'giảng_dạy', 'hội', 'thi', 'giảng_viên', 'dạy', 'giỏi', 'gdqp', 'an_gdtc', 'iuh', 'năm_học']",nâng tầm chất_lượng giảng_dạy hội thi giảng_viên dạy giỏi gdqp an_gdtc iuh năm_học
122,Nhiều sinh viên IUH đạt danh hiệu “Sinh viên 5 tốt” cấp Trung ương và Thành phố,Tin tức,nhiều sinh viên iuh đạt danh hiệu sinh viên tốt cấp trung ương và thành phố,"['nhiều', 'sinh_viên', 'iuh', 'đạt', 'danh_hiệu', 'sinh_viên', 'tốt', 'cấp', 'trung_ương', 'thành_phố']",nhiều sinh_viên iuh đạt danh_hiệu sinh_viên tốt cấp trung_ương thành_phố
123,"IUH thiết lập hợp tác dài hạn với Trung tâm Hỗ trợ Cộng đồng Giáo dục, TP. Iksan",Tin tức,iuh thiết lập hợp tác dài hạn với trung tâm hỗ trợ cộng đồng giáo dục tp iksan,"['iuh', 'thiết_lập', 'hợp_tác', 'dài_hạn', 'trung_tâm', 'hỗ_trợ', 'cộng_đồng', 'giáo_dục', 'tp', 'iksan']",iuh thiết_lập hợp_tác dài_hạn trung_tâm hỗ_trợ cộng_đồng giáo_dục tp iksan
124,IUH BASS 2025: Nhiều nghiên cứu sinh viên phản ánh vấn đề thời sự trong quản trị kinh doanh,Tin tức,iuh bass nhiều nghiên cứu sinh viên phản ánh vấn đề thời sự trong quản trị kinh doanh,"['iuh', 'bass', 'nhiều', 'nghiên_cứu', 'sinh_viên', 'phản_ánh', 'vấn_đề', 'thời_sự', 'quản_trị', 'kinh_doanh']",iuh bass nhiều nghiên_cứu sinh_viên phản_ánh vấn_đề thời_sự quản_trị kinh_doanh
125,21 sinh viên IUH hoàn thành nhiệm vụ đào tạo sĩ quan dự bị năm 2025,Tin tức,sinh viên iuh hoàn thành nhiệm vụ đào tạo sĩ quan dự bị năm,"['sinh_viên', 'iuh', 'hoàn_thành', 'nhiệm_vụ', 'đào_tạo', 'sĩ_quan', 'dự_bị', 'năm']",sinh_viên iuh hoàn_thành nhiệm_vụ đào_tạo sĩ_quan dự_bị năm
126,Ngành Kinh doanh quốc tế và bài toán nguồn nhân lực hội nhập tại IUH,Tin tức,ngành kinh doanh quốc tế và bài toán nguồn nhân lực hội nhập tại iuh,"['ngành', 'kinh_doanh', 'quốc_tế', 'bài_toán', 'nguồn', 'nhân_lực', 'hội_nhập', 'iuh']",ngành kinh_doanh quốc_tế bài_toán nguồn nhân_lực hội_nhập iuh
127,Tập huấn Bộ nhận diện thương hiệu IUH: Đồng bộ hình ảnh - Lan tỏa giá trị,Tin tức,tập huấn bộ nhận diện thương hiệu iuh đồng bộ hình ảnh lan tỏa giá trị,"['tập_huấn', 'bộ', 'nhận_diện', 'thương_hiệu', 'iuh', 'đồng_bộ', 'hình_ảnh', 'lan_tỏa', 'giá_trị']",tập_huấn bộ nhận_diện thương_hiệu iuh đồng_bộ hình_ảnh lan_tỏa giá_trị
128,10 hoạt động và thành tựu tiêu biểu của IUH trong năm học 2024–2025,Tin tức,hoạt động và thành tựu tiêu biểu của iuh trong năm học,"['hoạt_động', 'thành_tựu', 'tiêu_biểu', 'iuh', 'năm_học']",hoạt_động thành_tựu tiêu_biểu iuh năm_học
129,IUH lập dấu ấn tại Olympic Tin học Sinh viên Việt Nam 2025: 100% thí sinh đều đoạt giải,Tin tức,iuh lập dấu ấn tại olympic tin học sinh viên việt nam thí sinh đều đoạt giải,"['iuh', 'lập', 'dấu_ấn', 'olympic', 'tin_học_sinh_viên', 'việt_nam', 'thí_sinh', 'đều', 'đoạt', 'giải']",iuh lập dấu_ấn olympic tin_học_sinh_viên việt_nam thí_sinh đều đoạt giải
130,Chúc mừng Giáng sinh và Chúc mừng năm mới 2026,Tin tức,chúc mừng giáng sinh và chúc mừng năm mới,"['chúc_mừng', 'giáng_sinh', 'chúc_mừng', 'năm', 'mới']",chúc_mừng giáng_sinh chúc_mừng năm mới
131,Hội Cựu chiến binh IUH về nguồn kỷ niệm 81 năm Ngày thành lập Quân đội Nhân dân Việt Nam,Tin tức,hội cựu chiến binh iuh về nguồn kỷ niệm năm ngày thành lập quân đội nhân dân việt nam,"['hội', 'cựu_chiến_binh', 'iuh', 'nguồn', 'kỷ_niệm', 'năm', 'ngày', 'thành_lập', 'quân_đội', 'nhân_dân', 'việt_nam']",hội cựu_chiến_binh iuh nguồn kỷ_niệm năm ngày thành_lập quân_đội nhân_dân việt_nam
132,Đại biểu IUH trúng cử vào Ban Thường vụ Công đoàn Công Thương Việt Nam khóa V,Tin tức,đại biểu iuh trúng cử vào ban thường vụ công đoàn công thương việt nam khóa v,"['đại_biểu', 'iuh', 'trúng_cử', 'vào', 'ban', 'thường_vụ', 'công_đoàn', 'công_thương', 'việt_nam', 'khóa']",đại_biểu iuh trúng_cử vào ban thường_vụ công_đoàn công_thương việt_nam khóa
133,Biến vảy cá thành giá trị xanh: Sinh viên IUH chinh phục Giải Nhì FID 2025,Tin tức,biến vảy cá thành giá trị xanh sinh viên iuh chinh phục giải nhì fid,"['biến', 'vảy', 'cá', 'thành', 'giá_trị', 'xanh', 'sinh_viên', 'iuh', 'chinh_phục', 'giải', 'nhì', 'fid']",biến vảy cá thành giá_trị xanh sinh_viên iuh chinh_phục giải nhì fid
134,"Vượt qua hơn 140 đội thi, sinh viên IUH giành giải Nhì Cuộc thi Thiết kế Điện tử Việt Nam 2025",Tin tức,vượt qua hơn đội thi sinh viên iuh giành giải nhì cuộc thi thiết kế điện tử việt nam,"['vượt', 'qua', 'đội', 'thi', 'sinh_viên', 'iuh', 'giành', 'giải', 'nhì', 'cuộc', 'thi', 'thiết_kế', 'điện_tử', 'việt_nam']",vượt qua đội thi sinh_viên iuh giành giải nhì cuộc thi thiết_kế điện_tử việt_nam
135,IUH vào Top 3 trường có kết quả cao nhất toàn quốc tại OlpAI’25,Tin tức,iuh vào top trường có kết quả cao nhất toàn quốc tại olpai,"['iuh', 'vào', 'top_trường', 'kết_quả', 'cao', 'nhất', 'toàn_quốc', 'olpai']",iuh vào top_trường kết_quả cao nhất toàn_quốc olpai
136,"Ngày hội Chào Tân sinh viên: IUH vinh danh thủ khoa, trao học bổng và tri ân doanh nghiệp đồng hành",Tin tức,ngày hội chào tân sinh viên iuh vinh danh thủ khoa trao học bổng và tri ân doanh nghiệp đồng hành,"['ngày', 'hội', 'chào_tân', 'sinh_viên', 'iuh', 'vinh_danh', 'thủ_khoa', 'trao', 'học_bổng', 'tri_ân', 'doanh_nghiệp', 'đồng_hành']",ngày hội chào_tân sinh_viên iuh vinh_danh thủ_khoa trao học_bổng tri_ân doanh_nghiệp đồng_hành
137,Đại học Công nghiệp TP. HCM đón nhận cờ thi đua của Thủ tướng Chính phủ,Tin tức,đại học công nghiệp tp hcm đón nhận cờ thi đua của thủ tướng chính phủ,"['đại_học', 'công_nghiệp', 'tp', 'hcm', 'đón_nhận', 'cờ', 'thi_đua', 'thủ_tướng', 'chính_phủ']",đại_học công_nghiệp tp hcm đón_nhận cờ thi_đua thủ_tướng chính_phủ
138,"IUH triển khai chương trình hành động thực hiện các nghị quyết về KH&CN, đổi mới sáng tạo và chuyển đổi số",Tin tức,iuh triển khai chương trình hành động thực hiện các nghị quyết về kh cn đổi mới sáng tạo và chuyển đổi số,"['iuh', 'triển_khai', 'chương_trình', 'hành_động', 'thực_hiện', 'nghị_quyết', 'kh', 'cn', 'đổi_mới', 'sáng_tạo', 'chuyển_đổi', 'số']",iuh triển_khai chương_trình hành_động thực_hiện nghị_quyết kh cn đổi_mới sáng_tạo chuyển_đổi số
139,IUH vinh danh và khen thưởng hoạt động nghiên cứu khoa học và công nghệ năm 2024,Tin tức,iuh vinh danh và khen thưởng hoạt động nghiên cứu khoa học và công nghệ năm,"['iuh', 'vinh_danh', 'khen_thưởng', 'hoạt_động', 'nghiên_cứu', 'khoa_học', 'công_nghệ', 'năm']",iuh vinh_danh khen_thưởng hoạt_động nghiên_cứu khoa_học công_nghệ năm
140,"IUH và Roboworld ký kết hợp tác, thúc đẩy nghiên cứu và đào tạo trong lĩnh vực Robot",Tin tức,iuh và roboworld ký kết hợp tác thúc đẩy nghiên cứu và đào tạo trong lĩnh vực robot,"['iuh', 'roboworld', 'ký_kết', 'hợp_tác', 'thúc_đẩy', 'nghiên_cứu', 'đào_tạo', 'lĩnh_vực', 'robot']",iuh roboworld ký_kết hợp_tác thúc_đẩy nghiên_cứu đào_tạo lĩnh_vực robot
141,IUH vượt chỉ tiêu trong tuyển chọn sinh viên đào tạo Sĩ quan dự bị năm 2025,Tin tức,iuh vượt chỉ tiêu trong tuyển chọn sinh viên đào tạo sĩ quan dự bị năm,"['iuh', 'vượt', 'chỉ_tiêu', 'tuyển_chọn', 'sinh_viên', 'đào_tạo', 'sĩ_quan', 'dự_bị', 'năm']",iuh vượt chỉ_tiêu tuyển_chọn sinh_viên đào_tạo sĩ_quan dự_bị năm
142,Đảng viên Trường đại học Công nghiệp TP. Hồ Chí Minh vinh dự nhận Huy hiệu Đảng nhân dịp Lễ Quốc khánh,Tin tức,đảng viên trường đại học công nghiệp tp hồ chí minh vinh dự nhận huy hiệu đảng nhân dịp lễ quốc khánh,"['đảng_viên', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hồ', 'chí_minh', 'vinh_dự', 'nhận', 'huy_hiệu', 'đảng_nhân_dịp', 'lễ', 'quốc_khánh']",đảng_viên trường đại_học công_nghiệp tp hồ chí_minh vinh_dự nhận huy_hiệu đảng_nhân_dịp lễ quốc_khánh
143,Kết nối giáo dục – doanh nghiệp: IUH và Huỳnh Thy hợp tác phát triển nguồn nhân lực chất lượng cao,Tin tức,kết nối giáo dục doanh nghiệp iuh và huỳnh thy hợp tác phát triển nguồn nhân lực chất lượng cao,"['kết_nối', 'giáo_dục', 'doanh_nghiệp', 'iuh', 'huỳnh_thy', 'hợp_tác', 'phát_triển', 'nguồn', 'nhân_lực', 'chất_lượng', 'cao']",kết_nối giáo_dục doanh_nghiệp iuh huỳnh_thy hợp_tác phát_triển nguồn nhân_lực chất_lượng cao
144,"IUH đạt 100% cán bộ, viên chức và người lao động tham gia tập huấn An toàn vệ sinh lao động",Tin tức,iuh đạt cán bộ viên chức và người lao động tham gia tập huấn an toàn vệ sinh lao động,"['iuh', 'đạt', 'cán_bộ', 'viên_chức', 'người', 'lao_động', 'tham_gia', 'tập_huấn', 'an_toàn', 'vệ_sinh', 'lao_động']",iuh đạt cán_bộ viên_chức người lao_động tham_gia tập_huấn an_toàn vệ_sinh lao_động
145,Báo cáo viên IUH chia sẻ kinh nghiệm tại Hội thảo quốc tế do Bộ GD&ĐT và AUN tổ chức,Tin tức,báo cáo viên iuh chia sẻ kinh nghiệm tại hội thảo quốc tế do bộ gd đt và aun tổ chức,"['báo_cáo_viên', 'iuh', 'chia_sẻ', 'kinh_nghiệm', 'hội_thảo', 'quốc_tế', 'bộ', 'gd', 'đt', 'aun', 'tổ_chức']",báo_cáo_viên iuh chia_sẻ kinh_nghiệm hội_thảo quốc_tế bộ gd đt aun tổ_chức
146,IUH đồng hành cùng thế hệ trẻ: Lê Minh Quân được vinh danh trong 47 học sinh tiêu biểu của Công đoàn Công Thương Việt Nam,Tin tức,iuh đồng hành cùng thế hệ trẻ lê minh quân được vinh danh trong học sinh tiêu biểu của công đoàn công thương việt nam,"['iuh', 'đồng_hành', 'cùng', 'thế_hệ', 'trẻ', 'lê_minh_quân', 'vinh_danh', 'học_sinh', 'tiêu_biểu', 'công_đoàn', 'công_thương', 'việt_nam']",iuh đồng_hành cùng thế_hệ trẻ lê_minh_quân vinh_danh học_sinh tiêu_biểu công_đoàn công_thương việt_nam
147,Đại học Công nghiệp TP.HCM đưa AI vào giáo dục – Hướng tới nguồn nhân lực chất lượng cao,Tin tức,đại học công nghiệp tp hcm đưa ai vào giáo dục hướng tới nguồn nhân lực chất lượng cao,"['đại_học', 'công_nghiệp', 'tp', 'hcm', 'đưa', 'ai', 'vào', 'giáo_dục', 'hướng', 'tới', 'nguồn', 'nhân_lực', 'chất_lượng', 'cao']",đại_học công_nghiệp tp hcm đưa ai vào giáo_dục hướng tới nguồn nhân_lực chất_lượng cao
148,IUH đưa vào sử dụng phòng thí nghiệm hiện đại về Thiết kế vi mạch và Đo kiểm,Tin tức,iuh đưa vào sử dụng phòng thí nghiệm hiện đại về thiết kế vi mạch và đo kiểm,"['iuh', 'đưa', 'vào', 'sử_dụng', 'phòng_thí_nghiệm', 'hiện_đại', 'thiết_kế', 'vi_mạch', 'đo', 'kiểm']",iuh đưa vào sử_dụng phòng_thí_nghiệm hiện_đại thiết_kế vi_mạch đo kiểm
149,Tiếp lửa học tập – Hơn 1000 suất học bổng Nguyễn Đức Cảnh được trao tại IUH,Tin tức,tiếp lửa học tập hơn suất học bổng nguyễn đức cảnh được trao tại iuh,"['tiếp', 'lửa', 'học_tập', 'suất', 'học_bổng', 'nguyễn_đức_cảnh', 'trao', 'iuh']",tiếp lửa học_tập suất học_bổng nguyễn_đức_cảnh trao iuh
150,Thành lập Chi hội Vô tuyến – Điện tử tại IUH – Bước tiến mới trong hợp tác và nghiên cứu,Tin tức,thành lập chi hội vô tuyến điện tử tại iuh bước tiến mới trong hợp tác và nghiên cứu,"['thành_lập', 'chi_hội', 'vô_tuyến', 'điện_tử', 'iuh', 'bước_tiến', 'mới', 'hợp_tác', 'nghiên_cứu']",thành_lập chi_hội vô_tuyến điện_tử iuh bước_tiến mới hợp_tác nghiên_cứu
151,Khai mạc đánh giá chất lượng 03 chương trình đào tạo trình độ đại học theo tiêu chuẩn AUN-QA của IUH,Tin tức,khai mạc đánh giá chất lượng chương trình đào tạo trình độ đại học theo tiêu chuẩn aun qa của iuh,"['khai_mạc', 'đánh_giá', 'chất_lượng', 'chương_trình', 'đào_tạo', 'trình_độ', 'đại_học', 'tiêu_chuẩn', 'aun', 'qa', 'iuh']",khai_mạc đánh_giá chất_lượng chương_trình đào_tạo trình_độ đại_học tiêu_chuẩn aun qa iuh
152,IUH khánh thành Phòng thí nghiệm Robot và tiếp nhận thiết bị từ ABB Việt Nam,Tin tức,iuh khánh thành phòng thí nghiệm robot và tiếp nhận thiết bị từ abb việt nam,"['iuh', 'khánh_thành', 'phòng_thí_nghiệm', 'robot', 'tiếp_nhận', 'thiết_bị', 'abb', 'việt_nam']",iuh khánh_thành phòng_thí_nghiệm robot tiếp_nhận thiết_bị abb việt_nam
153,"Kỳ thi đánh giá năng lực Đại học Quốc gia TP. HCM đợt 1: An toàn, đúng quy chế tại Cụm 10 (IUH)",Tin tức,kỳ thi đánh giá năng lực đại học quốc gia tp hcm đợt an toàn đúng quy chế tại cụm iuh,"['kỳ', 'thi', 'đánh_giá', 'năng_lực', 'đại_học', 'quốc_gia', 'tp', 'hcm', 'đợt', 'an_toàn', 'đúng', 'quy_chế', 'cụm', 'iuh']",kỳ thi đánh_giá năng_lực đại_học quốc_gia tp hcm đợt an_toàn đúng quy_chế cụm iuh
154,Hội thảo “Nâng cao năng lực quản trị tài sản trí tuệ” của Cục Sở hữu trí tuệ tại IUH,Tin tức,hội thảo nâng cao năng lực quản trị tài sản trí tuệ của cục sở hữu trí tuệ tại iuh,"['hội_thảo', 'nâng', 'cao', 'năng_lực', 'quản_trị', 'tài_sản', 'trí_tuệ', 'cục', 'sở_hữu_trí_tuệ', 'iuh']",hội_thảo nâng cao năng_lực quản_trị tài_sản trí_tuệ cục sở_hữu_trí_tuệ iuh
155,"IUH tăng cường trao đổi, hợp tác các doanh nghiệp trong kỷ nguyên AI",Tin tức,iuh tăng cường trao đổi hợp tác các doanh nghiệp trong kỷ nguyên ai,"['iuh', 'tăng_cường', 'trao_đổi', 'hợp_tác', 'doanh_nghiệp', 'kỷ_nguyên', 'ai']",iuh tăng_cường trao_đổi hợp_tác doanh_nghiệp kỷ_nguyên ai
156,Tuần cuối trước kỳ thi đánh giá năng lực: Checklist quan trọng thí sinh không thể bỏ lỡ!,Tin tức,tuần cuối trước kỳ thi đánh giá năng lực checklist quan trọng thí sinh không thể bỏ lỡ,"['tuần', 'cuối', 'trước', 'kỳ', 'thi', 'đánh_giá', 'năng_lực', 'checklist', 'quan_trọng', 'thí_sinh', 'không_thể', 'bỏ', 'lỡ']",tuần cuối trước kỳ thi đánh_giá năng_lực checklist quan_trọng thí_sinh không_thể bỏ lỡ
157,Trải nghiệm tham quan học tập kết hợp hoạt động cộng đồng của đội ngũ cán bộ viên chức Đại học Công nghiệp TP. HCM,Tin tức,trải nghiệm tham quan học tập kết hợp hoạt động cộng đồng của đội ngũ cán bộ viên chức đại học công nghiệp tp hcm,"['trải_nghiệm', 'tham_quan', 'học_tập_kết_hợp', 'hoạt_động', 'cộng_đồng', 'đội_ngũ', 'cán_bộ', 'viên_chức', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",trải_nghiệm tham_quan học_tập_kết_hợp hoạt_động cộng_đồng đội_ngũ cán_bộ viên_chức đại_học công_nghiệp tp hcm
158,"Thi đánh giá năng lực 2025, thí sinh được mang vật dụng gì vào phòng thi?",Tin tức,thi đánh giá năng lực thí sinh được mang vật dụng gì vào phòng thi,"['thi', 'đánh_giá', 'năng_lực', 'thí_sinh', 'mang', 'vật_dụng', 'gì', 'vào', 'phòng', 'thi']",thi đánh_giá năng_lực thí_sinh mang vật_dụng gì vào phòng thi
159,Ứng dụng AI trong tập huấn dạy học dựa trên chuẩn đầu ra (OBE),Tin tức,ứng dụng ai trong tập huấn dạy học dựa trên chuẩn đầu ra obe,"['ứng_dụng', 'ai', 'tập_huấn', 'dạy_học', 'dựa', 'trên', 'chuẩn', 'đầu_ra', 'obe']",ứng_dụng ai tập_huấn dạy_học dựa trên chuẩn đầu_ra obe
160,Khai mạc Hội thảo quốc tế IUKM 2025 tại IUH,Tin tức,khai mạc hội thảo quốc tế iukm tại iuh,"['khai_mạc', 'hội_thảo', 'quốc_tế', 'iukm', 'iuh']",khai_mạc hội_thảo quốc_tế iukm iuh
161,"Lễ khai giảng khóa đào tạo trình độ tiến sĩ, thạc sĩ và trao bằng cho các Tân thạc sĩ tại IUH",Tin tức,lễ khai giảng khóa đào tạo trình độ tiến sĩ thạc sĩ và trao bằng cho các tân thạc sĩ tại iuh,"['lễ', 'khai', 'giảng_khóa', 'đào_tạo', 'trình_độ', 'tiến_sĩ', 'thạc_sĩ', 'trao', 'bằng', 'tân', 'thạc_sĩ', 'iuh']",lễ khai giảng_khóa đào_tạo trình_độ tiến_sĩ thạc_sĩ trao bằng tân thạc_sĩ iuh
162,Giám đốc Sở GD-ĐT Tây Ninh: “IUH là nơi chúng tôi tin tưởng gửi gắm học sinh của mình”,Tin tức,giám đốc sở gd đt tây ninh iuh là nơi chúng tôi tin tưởng gửi gắm học sinh của mình,"['giám_đốc', 'sở', 'gd', 'đt', 'tây_ninh', 'iuh', 'nơi', 'chúng_tôi', 'tin_tưởng', 'gửi_gắm', 'học_sinh', 'mình']",giám_đốc sở gd đt tây_ninh iuh nơi chúng_tôi tin_tưởng gửi_gắm học_sinh mình
163,Hội thảo xu thế truyền thông quốc tế Việt - Nhật,Tin tức,hội thảo xu thế truyền thông quốc tế việt nhật,"['hội_thảo', 'xu_thế', 'truyền_thông', 'quốc_tế', 'việt_nhật']",hội_thảo xu_thế truyền_thông quốc_tế việt_nhật
164,IUH tổng kết 15 năm hợp tác cùng Đại học Liège (Vương quốc Bỉ),Tin tức,iuh tổng kết năm hợp tác cùng đại học liège vương quốc bỉ,"['iuh', 'tổng_kết', 'năm', 'hợp_tác', 'cùng', 'đại_học', 'liège', 'vương_quốc', 'bỉ']",iuh tổng_kết năm hợp_tác cùng đại_học liège vương_quốc bỉ
165,"Hội nghị Viên chức, Người lao động Đại học Công nghiệp TP. HCM năm 2025",Tin tức,hội nghị viên chức người lao động đại học công nghiệp tp hcm năm,"['hội_nghị', 'viên_chức', 'người', 'lao_động', 'đại_học', 'công_nghiệp', 'tp', 'hcm', 'năm']",hội_nghị viên_chức người lao_động đại_học công_nghiệp tp hcm năm
166,IUH cùng Rock Wool Khải Hoàn ươm mầm tương lai,Tin tức,iuh cùng rock wool khải hoàn ươm mầm tương lai,"['iuh', 'cùng', 'rock', 'wool_khải', 'hoàn_ươm', 'mầm', 'tương_lai']",iuh cùng rock wool_khải hoàn_ươm mầm tương_lai
167,IUH ký kết MOU với Liên danh Hanabi Group - Hashimotogumi,Tin tức,iuh ký kết mou với liên danh hanabi group hashimotogumi,"['iuh', 'ký_kết', 'mou', 'liên_danh', 'hanabi', 'group', 'hashimotogumi']",iuh ký_kết mou liên_danh hanabi group hashimotogumi
168,Hội nghị tổng kết công tác Đoàn – Hội năm học 2023 – 2024 và triển khai nhiệm vụ năm học mới tại IUH,Tin tức,hội nghị tổng kết công tác đoàn hội năm học và triển khai nhiệm vụ năm học mới tại iuh,"['hội_nghị', 'tổng_kết', 'công_tác', 'đoàn', 'hội', 'năm_học', 'triển_khai', 'nhiệm_vụ', 'năm_học', 'mới', 'iuh']",hội_nghị tổng_kết công_tác đoàn hội năm_học triển_khai nhiệm_vụ năm_học mới iuh
169,"Liên hoan cán bộ Đoàn, Đảng viên trẻ và Lễ kết nạp Hội sinh viên Việt Nam tại Đại học Công nghiệp TP. HCM",Tin tức,liên hoan cán bộ đoàn đảng viên trẻ và lễ kết nạp hội sinh viên việt nam tại đại học công nghiệp tp hcm,"['liên_hoan', 'cán_bộ', 'đoàn', 'đảng_viên', 'trẻ', 'lễ', 'kết_nạp', 'hội', 'sinh_viên', 'việt_nam', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",liên_hoan cán_bộ đoàn đảng_viên trẻ lễ kết_nạp hội sinh_viên việt_nam đại_học công_nghiệp tp hcm
170,"Hội thảo “Dr Energy Recovery Ventilator”, trao tặng thiết bị và học bổng Dr Fan tại Đại Học Công nghiệp TP. HCM",Tin tức,hội thảo dr energy recovery ventilator trao tặng thiết bị và học bổng dr fan tại đại học công nghiệp tp hcm,"['hội_thảo', 'dr', 'energy', 'recovery', 'ventilator', 'trao_tặng', 'thiết_bị', 'học_bổng', 'dr', 'fan', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",hội_thảo dr energy recovery ventilator trao_tặng thiết_bị học_bổng dr fan đại_học công_nghiệp tp hcm
171,IUH tiếp nhận tài trợ thiết bị hơn nửa tỉ đồng từ Mitsubishi Electric Việt Nam,Tin tức,iuh tiếp nhận tài trợ thiết bị hơn nửa tỉ đồng từ mitsubishi electric việt nam,"['iuh', 'tiếp_nhận', 'tài_trợ', 'thiết_bị', 'nửa', 'tỉ', 'đồng', 'mitsubishi', 'electric', 'việt_nam']",iuh tiếp_nhận tài_trợ thiết_bị nửa tỉ đồng mitsubishi electric việt_nam
172,Lộ diện 9 thủ khoa đầu vào của Đại học Công nghiệp TP. HCM được vinh danh tại Lễ Khai giảng năm học 2024 – 2025,Tin tức,lộ diện thủ khoa đầu vào của đại học công nghiệp tp hcm được vinh danh tại lễ khai giảng năm học,"['lộ', 'diện', 'thủ_khoa', 'đầu_vào', 'đại_học', 'công_nghiệp', 'tp', 'hcm', 'vinh_danh', 'lễ', 'khai_giảng', 'năm_học']",lộ diện thủ_khoa đầu_vào đại_học công_nghiệp tp hcm vinh_danh lễ khai_giảng năm_học
173,Vinh danh và khen thưởng hoạt động nghiên cứu khoa học và công nghệ năm 2023 tại Đại học Công nghiệp TP. HCM,Tin tức,vinh danh và khen thưởng hoạt động nghiên cứu khoa học và công nghệ năm tại đại học công nghiệp tp hcm,"['vinh_danh', 'khen_thưởng', 'hoạt_động', 'nghiên_cứu', 'khoa_học', 'công_nghệ', 'năm', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",vinh_danh khen_thưởng hoạt_động nghiên_cứu khoa_học công_nghệ năm đại_học công_nghiệp tp hcm
174,Đại học Công nghiệp TP. HCM cùng VPBank thắp sáng tài năng,Tin tức,đại học công nghiệp tp hcm cùng vpbank thắp sáng tài năng,"['đại_học', 'công_nghiệp', 'tp', 'hcm', 'cùng', 'vpbank', 'thắp', 'sáng', 'tài_năng']",đại_học công_nghiệp tp hcm cùng vpbank thắp sáng tài_năng
175,Bùng cháy đêm đại nhạc hội chào đón tân sinh viên tại Đại học Công nghiệp TP. HCM,Tin tức,bùng cháy đêm đại nhạc hội chào đón tân sinh viên tại đại học công nghiệp tp hcm,"['bùng', 'cháy', 'đêm', 'đại_nhạc', 'hội', 'chào_đón', 'tân', 'sinh_viên', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",bùng cháy đêm đại_nhạc hội chào_đón tân sinh_viên đại_học công_nghiệp tp hcm
176,Tiếng trống thiêng liêng chào đón năm học mới 2024 - 2025 tại Đại học Công nghiệp TP.HCM,Tin tức,tiếng trống thiêng liêng chào đón năm học mới tại đại học công nghiệp tp hcm,"['tiếng', 'trống', 'thiêng_liêng', 'chào_đón', 'năm_học', 'mới', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",tiếng trống thiêng_liêng chào_đón năm_học mới đại_học công_nghiệp tp hcm
177,Đại học Công nghiệp TP. HCM hoàn thành kiểm định chu kỳ 2 cho 04 chương trình đại học,Tin tức,đại học công nghiệp tp hcm hoàn thành kiểm định chu kỳ cho chương trình đại học,"['đại_học', 'công_nghiệp', 'tp', 'hcm', 'hoàn_thành', 'kiểm_định', 'chu_kỳ', 'chương_trình', 'đại_học']",đại_học công_nghiệp tp hcm hoàn_thành kiểm_định chu_kỳ chương_trình đại_học
178,Hội thảo giải pháp làm sạch không khí và trao học bổng Air Filtech tại Đại học Công nghiệp TP. HCM,Tin tức,hội thảo giải pháp làm sạch không khí và trao học bổng air filtech tại đại học công nghiệp tp hcm,"['hội_thảo', 'giải_pháp', 'làm', 'sạch', 'không_khí', 'trao', 'học_bổng', 'air', 'filtech', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",hội_thảo giải_pháp làm sạch không_khí trao học_bổng air filtech đại_học công_nghiệp tp hcm
179,Đại học Công nghiệp TP. HCM chung tay hướng về đồng bào miền Bắc,Tin tức,đại học công nghiệp tp hcm chung tay hướng về đồng bào miền bắc,"['đại_học', 'công_nghiệp', 'tp', 'hcm', 'chung', 'tay', 'hướng', 'đồng_bào', 'miền', 'bắc']",đại_học công_nghiệp tp hcm chung tay hướng đồng_bào miền bắc
