STT,Thông tin,Label,thong_tin_norm_vi,tokens_vi,thong_tin_final_vi,STT,information,Label,thong_tin_norm_en,tokens_en,thong_tin_final_en
180,Lễ Tổng kết INNOGREENLIFE2023” và khởi động giải Cuộc thi “INNOGREENLIFE2024 - Đổi mới sáng tạo vì cuộc sống Xanh”,Tin tức,lễ tổng kết innogreenlife và khởi động giải cuộc thi innogreenlife đổi mới sáng tạo vì cuộc sống xanh,"['lễ', 'tổng_kết', 'innogreenlife', 'khởi_động', 'giải', 'cuộc', 'thi', 'innogreenlife', 'đổi_mới', 'sáng_tạo', 'cuộc_sống', 'xanh']",lễ tổng_kết innogreenlife khởi_động giải cuộc thi innogreenlife đổi_mới sáng_tạo cuộc_sống xanh,180,More than 800 scientists attended the international conference on advanced technology and sustainable development,Tin tức,more than scientists attended the international conference on advanced technology and sustainable development,"['scientist', 'attend', 'international', 'conference', 'advance', 'technology', 'sustainable', 'development']",scientist attend international conference advance technology sustainable development
181,IUH nhận giấy khen của Ban Chấp hành Đảng bộ Khối Các cơ quan Trung ương tại Thành phố Hồ Chí Minh,Tin tức,iuh nhận giấy khen của ban chấp hành đảng bộ khối các cơ quan trung ương tại thành phố hồ chí minh,"['iuh', 'nhận', 'giấy', 'khen', 'ban_chấp_hành', 'đảng_bộ', 'khối', 'cơ_quan', 'trung_ương', 'thành_phố', 'hồ', 'chí_minh']",iuh nhận giấy khen ban_chấp_hành đảng_bộ khối cơ_quan trung_ương thành_phố hồ chí_minh,181,Opening of the 2nd International Scientific Conference 2022,Tin tức,opening of the nd international scientific conference,"['open', 'international', 'scientific', 'conference']",open international scientific conference
182,Lễ Khai mạc Hội thao toàn trường năm 2024,Tin tức,lễ khai mạc hội thao toàn trường năm,"['lễ', 'khai_mạc', 'hội_thao', 'toàn', 'trường', 'năm']",lễ khai_mạc hội_thao toàn trường năm,182,Conference summarizing Trade Union activities of Ho Chi Minh City University of Industry for the 2021 - 2022 school year,Tin tức,conference summarizing trade union activities of ho chi minh city university of industry for the school year,"['conference', 'summarize', 'trade', 'union', 'activity', 'chi', 'minh', 'city', 'university', 'industry', 'school', 'year']",conference summarize trade union activity chi minh city university industry school year
183,Đại học Công nghiệp TP. Hồ Chí Minh cho phép sinh viên học thạc sĩ,Tin tức,đại học công nghiệp tp hồ chí minh cho phép sinh viên học thạc sĩ,"['đại_học', 'công_nghiệp', 'tp', 'hồ', 'chí_minh', 'cho_phép', 'sinh_viên', 'học', 'thạc_sĩ']",đại_học công_nghiệp tp hồ chí_minh cho_phép sinh_viên học thạc_sĩ,183,Ho Chi Minh City University of Industry completed preparations for the 2nd International Scientific Conference,Tin tức,ho chi minh city university of industry completed preparations for the nd international scientific conference,"['chi', 'minh', 'city', 'university', 'industry', 'complete', 'preparation', 'international', 'scientific', 'conference']",chi minh city university industry complete preparation international scientific conference
184,Đại học Công nghiệp Thành phố Hồ Chí Minh tổ chức các hoạt động chào mừng ngày Quốc tế Phụ nữ,Tin tức,đại học công nghiệp thành phố hồ chí minh tổ chức các hoạt động chào mừng ngày quốc tế phụ nữ,"['đại_học', 'công_nghiệp', 'thành_phố', 'hồ', 'chí_minh', 'tổ_chức', 'hoạt_động', 'chào_mừng', 'ngày', 'quốc_tế_phụ_nữ']",đại_học công_nghiệp thành_phố hồ chí_minh tổ_chức hoạt_động chào_mừng ngày quốc_tế_phụ_nữ,184,A series of activities to celebrate the 40th anniversary of Vietnamese Teachers' Day at Ho Chi Minh City University of Industry,Tin tức,a series of activities to celebrate the th anniversary of vietnamese teachers day at ho chi minh city university of industry,"['series', 'activity', 'celebrate', 'anniversary', 'vietnamese', 'teacher', 'day', 'chi', 'minh', 'city', 'university', 'industry']",series activity celebrate anniversary vietnamese teacher day chi minh city university industry
185,"Hội nghị Viên chức, người lao động năm 2024",Tin tức,hội nghị viên chức người lao động năm,"['hội_nghị', 'viên_chức', 'người', 'lao_động', 'năm']",hội_nghị viên_chức người lao_động năm,185,IUH participates in the ICPC International Student Programming organization National round 2022,Tin tức,iuh participates in the icpc international student programming organization national round,"['iuh', 'participate', 'icpc', 'international', 'student', 'program', 'organization', 'national', 'round']",iuh participate icpc international student program organization national round
186,Hội nghị Tổng kết công tác Đảng năm 2023 và triển khai phương hướng nhiệm vụ năm 2024,Tin tức,hội nghị tổng kết công tác đảng năm và triển khai phương hướng nhiệm vụ năm,"['hội_nghị', 'tổng_kết', 'công_tác', 'đảng', 'năm', 'triển_khai', 'phương_hướng', 'nhiệm_vụ', 'năm']",hội_nghị tổng_kết công_tác đảng năm triển_khai phương_hướng nhiệm_vụ năm,186,“Information forum on Higher Education and Scholarship Opportunities in Hungary” at IUH,Tin tức,information forum on higher education and scholarship opportunities in hungary at iuh,"['information', 'forum', 'high', 'education', 'scholarship', 'opportunity', 'hungary', 'iuh']",information forum high education scholarship opportunity hungary iuh
187,Hội nghị Viên chức – Người lao động năm 2024 tại các đơn vị trực thuộc trường,Tin tức,hội nghị viên chức người lao động năm tại các đơn vị trực thuộc trường,"['hội_nghị', 'viên_chức', 'người', 'lao_động', 'năm', 'đơn_vị', 'trực_thuộc', 'trường']",hội_nghị viên_chức người lao_động năm đơn_vị trực_thuộc trường,187,Changes in graduate admission 2022,Tin tức,changes in graduate admission,"['change', 'graduate', 'admission']",change graduate admission
188,10 sự kiện và thành tựu tiêu biểu năm 2023 của IUH,Tin tức,sự kiện và thành tựu tiêu biểu năm của iuh,"['sự_kiện', 'thành_tựu', 'tiêu_biểu', 'năm', 'iuh']",sự_kiện thành_tựu tiêu_biểu năm iuh,188,"The 5th Congress of members of the Veterans Association of Ho Chi Minh City University of Industry, term 2022 - 2027",Tin tức,the th congress of members of the veterans association of ho chi minh city university of industry term,"['congress', 'member', 'veteran', 'association', 'chi', 'minh', 'city', 'university', 'industry', 'term']",congress member veteran association chi minh city university industry term
189,IUH tổ chức các chương trình hướng về ngày Quân đội Nhân dân Việt Nam,Tin tức,iuh tổ chức các chương trình hướng về ngày quân đội nhân dân việt nam,"['iuh', 'tổ_chức', 'chương_trình', 'hướng', 'ngày', 'quân_đội', 'nhân_dân', 'việt_nam']",iuh tổ_chức chương_trình hướng ngày quân_đội nhân_dân việt_nam,189,Dialogue conference between school leaders and students in 2022,Tin tức,dialogue conference between school leaders and students in,"['dialogue', 'conference', 'school', 'leader', 'student']",dialogue conference school leader student
190,Hội nghị tổng kết hoạt động Công đoàn Trường Đại học Công nghiệp Thành phố Hồ Chí Minh năm học 2022 - 2023,Tin tức,hội nghị tổng kết hoạt động công đoàn trường đại học công nghiệp thành phố hồ chí minh năm học,"['hội_nghị', 'tổng_kết', 'hoạt_động', 'công_đoàn', 'trường', 'đại_học', 'công_nghiệp', 'thành_phố', 'hồ', 'chí_minh', 'năm_học']",hội_nghị tổng_kết hoạt_động công_đoàn trường đại_học công_nghiệp thành_phố hồ chí_minh năm_học,190,IUH has 4 more training programs that meet AUN-QA standards,Tin tức,iuh has more training programs that meet aun qa standards,"['iuh', 'training', 'program', 'meet', 'aun', 'standard']",iuh training program meet aun standard
191,Trường Đại học Công nghiệp TP. Hồ Chí Minh trao quyết định bổ nhiệm chức danh Phó Giáo sư,Tin tức,trường đại học công nghiệp tp hồ chí minh trao quyết định bổ nhiệm chức danh phó giáo sư,"['trường', 'đại_học', 'công_nghiệp', 'tp', 'hồ', 'chí_minh', 'trao', 'quyết_định', 'bổ_nhiệm', 'chức_danh', 'phó', 'giáo_sư']",trường đại_học công_nghiệp tp hồ chí_minh trao quyết_định bổ_nhiệm chức_danh phó giáo_sư,191,"Conference to organize propaganda activities to celebrate the 87th anniversary of the tradition of Vietnam's militia and self-defense (March 28, 1935 - March 28, 2022)",Tin tức,conference to organize propaganda activities to celebrate the th anniversary of the tradition of vietnam s militia and self defense march march,"['conference', 'organize', 'propaganda', 'activity', 'celebrate', 'anniversary', 'tradition', 'vietnam', 'militia', 'self', 'defense', 'march', 'march']",conference organize propaganda activity celebrate anniversary tradition vietnam militia self defense march march
192,Sinh viên IUH “nổi bật” tại cuộc thi Olympic Tin học và lập trình viên Quốc tế châu Á 2023,Tin tức,sinh viên iuh nổi bật tại cuộc thi olympic tin học và lập trình viên quốc tế châu á,"['sinh_viên', 'iuh', 'nổi_bật', 'cuộc', 'thi', 'olympic', 'tin_học', 'lập_trình_viên', 'quốc_tế', 'châu_á']",sinh_viên iuh nổi_bật cuộc thi olympic tin_học lập_trình_viên quốc_tế châu_á,192,D-Health won first prize in the INNGREENLIFE 2021 Contest,Tin tức,d health won first prize in the inngreenlife contest,"['health', 'first', 'prize', 'inngreenlife', 'contest']",health first prize inngreenlife contest
193,IUH long trọng tổ chức Lễ bế giảng và trao bằng Tốt nghiệp năm 2023,Tin tức,iuh long trọng tổ chức lễ bế giảng và trao bằng tốt nghiệp năm,"['iuh', 'long_trọng', 'tổ_chức', 'lễ', 'bế', 'giảng', 'trao', 'bằng', 'tốt_nghiệp', 'năm']",iuh long_trọng tổ_chức lễ bế giảng trao bằng tốt_nghiệp năm,193,"IUH held the Opening Ceremony of Doctoral training course 5, Master's course 11 and awarded diplomas in 2021",Tin tức,iuh held the opening ceremony of doctoral training course master s course and awarded diplomas in,"['iuh', 'hold', 'open', 'ceremony', 'doctoral', 'training', 'course', 'master', 'course', 'award', 'diploma']",iuh hold open ceremony doctoral training course master course award diploma
194,"Hội thảo “Cải tiến phương pháp giảng dạy kỹ năng làm việc nhóm, thích ứng tốt trong bối cảnh hội nhập quốc tế”",Tin tức,hội thảo cải tiến phương pháp giảng dạy kỹ năng làm việc nhóm thích ứng tốt trong bối cảnh hội nhập quốc tế,"['hội_thảo', 'cải_tiến', 'phương_pháp', 'giảng_dạy', 'kỹ_năng', 'làm_việc', 'nhóm', 'thích_ứng', 'tốt', 'bối_cảnh', 'hội_nhập', 'quốc_tế']",hội_thảo cải_tiến phương_pháp giảng_dạy kỹ_năng làm_việc nhóm thích_ứng tốt bối_cảnh hội_nhập quốc_tế,194,IUH Bachelor of Accounting - Auditing is in the TOP 5% of schools that meet the requirements of the Australian Association of Certified Public Accountants,Tin tức,iuh bachelor of accounting auditing is in the top of schools that meet the requirements of the australian association of certified public accountants,"['iuh', 'bachelor', 'accounting', 'audit', 'top', 'school', 'meet', 'requirement', 'australian', 'association', 'certify', 'public', 'accountant']",iuh bachelor accounting audit top school meet requirement australian association certify public accountant
195,IUH tổ chức Lễ bảo vệ Luận án tiến sĩ cấp trường,Tin tức,iuh tổ chức lễ bảo vệ luận án tiến sĩ cấp trường,"['iuh', 'tổ_chức', 'lễ', 'bảo_vệ', 'luận_án', 'tiến_sĩ', 'cấp', 'trường']",iuh tổ_chức lễ bảo_vệ luận_án tiến_sĩ cấp trường,195,IUH opens a major in Pharmacy,Tin tức,iuh opens a major in pharmacy,"['iuh', 'open', 'major', 'pharmacy']",iuh open major pharmacy
196,Hướng dẫn nhập học năm học 2023 - 2024,Tin tức,hướng dẫn nhập học năm học,"['hướng_dẫn', 'nhập_học', 'năm_học']",hướng_dẫn nhập_học năm_học,196,Letter of congratulations on International Women's Day from the Rector of IUH,Tin tức,letter of congratulations on international women s day from the rector of iuh,"['letter', 'congratulation', 'international', 'woman', 'day', 'rector', 'iuh']",letter congratulation international woman day rector iuh
197,Những điều Tân sinh viên nên biết để vượt qua “quãng đường đại học” dễ dàng,Tin tức,những điều tân sinh viên nên biết để vượt qua quãng đường đại học dễ dàng,"['điều_tân', 'sinh_viên', 'nên', 'biết', 'để', 'vượt', 'qua', 'quãng', 'đường', 'đại_học', 'dễ_dàng']",điều_tân sinh_viên nên biết để vượt qua quãng đường đại_học dễ_dàng,197,"Thermal Engineering Technology - The industry has never been ""HOT""",Tin tức,thermal engineering technology the industry has never been hot,"['thermal', 'engineering', 'technology', 'industry', 'never', 'hot']",thermal engineering technology industry never hot
198,Lễ trao thưởng học bổng Nguyễn Đức Cảnh năm học 2022 - 2023 và vinh danh Gia đình tiêu biểu xuất sắc năm 2023,Tin tức,lễ trao thưởng học bổng nguyễn đức cảnh năm học và vinh danh gia đình tiêu biểu xuất sắc năm,"['lễ', 'trao', 'thưởng', 'học_bổng', 'nguyễn_đức_cảnh', 'năm_học', 'vinh_danh', 'gia_đình', 'tiêu_biểu', 'xuất_sắc', 'năm']",lễ trao thưởng học_bổng nguyễn_đức_cảnh năm_học vinh_danh gia_đình tiêu_biểu xuất_sắc năm,198,IUH won Third Prize in the Community Service Engineering Project Competition (EPICS),Tin tức,iuh won third prize in the community service engineering project competition epics,"['iuh', 'third', 'prize', 'community', 'service', 'engineering', 'project', 'competition', 'epic']",iuh third prize community service engineering project competition epic
199,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh ký kết hợp tác cùng Công ty ABB Robotics Việt Nam,Tin tức,trường đại học công nghiệp thành phố hồ chí minh ký kết hợp tác cùng công ty abb robotics việt nam,"['trường', 'đại_học', 'công_nghiệp', 'thành_phố', 'hồ', 'chí_minh', 'ký_kết', 'hợp_tác', 'cùng', 'công_ty', 'abb', 'robotics', 'việt_nam']",trường đại_học công_nghiệp thành_phố hồ chí_minh ký_kết hợp_tác cùng công_ty abb robotics việt_nam,199,3rd scientific conference: Students with the trend of developing thermal engineering in the 4.0 era,Tin tức,rd scientific conference students with the trend of developing thermal engineering in the era,"['scientific', 'conference', 'student', 'trend', 'develop', 'thermal', 'engineering', 'era']",scientific conference student trend develop thermal engineering era
200,Tập huấn công tác Công đoàn tại Trường Đại học Công Nghiệp Thành phố Hồ Chí Minh năm 2023,Tin tức,tập huấn công tác công đoàn tại trường đại học công nghiệp thành phố hồ chí minh năm,"['tập_huấn', 'công_tác', 'công_đoàn', 'trường', 'đại_học', 'công_nghiệp', 'thành_phố', 'hồ', 'chí_minh', 'năm']",tập_huấn công_tác công_đoàn trường đại_học công_nghiệp thành_phố hồ chí_minh năm,200,Workshop on advanced research in thermal and fluid sciences,Tin tức,workshop on advanced research in thermal and fluid sciences,"['workshop', 'advance', 'research', 'thermal', 'fluid', 'science']",workshop advance research thermal fluid science
201,Công bố Quyết định bổ nhiệm và Quyết định bổ nhiệm lại viên chức Quản lý,Tin tức,công bố quyết định bổ nhiệm và quyết định bổ nhiệm lại viên chức quản lý,"['công_bố', 'quyết_định', 'bổ_nhiệm', 'quyết_định', 'bổ_nhiệm', 'viên_chức', 'quản_lý']",công_bố quyết_định bổ_nhiệm quyết_định bổ_nhiệm viên_chức quản_lý,201,"3rd Young Science Conference 2021: ""Young knowledge in the 4.0 era""",Tin tức,rd young science conference young knowledge in the era,"['young', 'science', 'conference', 'young', 'knowledge', 'era']",young science conference young knowledge era
202,Diễn tập thoát nạn cho 300 người ở Trường Đại học Công nghiệp TP.HCM,Tin tức,diễn tập thoát nạn cho người ở trường đại học công nghiệp tp hcm,"['diễn_tập', 'thoát', 'nạn', 'người', 'trường', 'đại_học', 'công_nghiệp', 'tp', 'hcm']",diễn_tập thoát nạn người trường đại_học công_nghiệp tp hcm,202,Top 5- IUH's breakthrough on the Webometrics rankings,Tin tức,top iuh s breakthrough on the webometrics rankings,"['top', 'iuh', 'breakthrough', 'webometrics', 'ranking']",top iuh breakthrough webometrics ranking
203,Sinh viên Khoa Công nghệ Điện xuất sắc đạt giải Nhì cuộc thi MECA 2023,Tin tức,sinh viên khoa công nghệ điện xuất sắc đạt giải nhì cuộc thi meca,"['sinh_viên', 'khoa', 'công_nghệ', 'điện', 'xuất_sắc', 'đạt', 'giải', 'nhì', 'cuộc', 'thi', 'meca']",sinh_viên khoa công_nghệ điện xuất_sắc đạt giải nhì cuộc thi meca,203,"""Young Architecture 2021"" Competition - A new academic playground in the Covid season",Tin tức,young architecture competition a new academic playground in the covid season,"['young', 'architecture', 'competition', 'new', 'academic', 'playground', 'covid', 'season']",young architecture competition new academic playground covid season
204,Hội thảo Sinh viên Nghiên cứu Khoa học Khoa Công nghệ Nhiệt Lạnh lần thứ 5 – 2023,Tin tức,hội thảo sinh viên nghiên cứu khoa học khoa công nghệ nhiệt lạnh lần thứ,"['hội_thảo', 'sinh_viên', 'nghiên_cứu', 'khoa_học_khoa', 'công_nghệ', 'nhiệt_lạnh', 'lần', 'thứ']",hội_thảo sinh_viên nghiên_cứu khoa_học_khoa công_nghệ nhiệt_lạnh lần thứ,204,Scientific research conference for students of the Faculty of Business Administration - IUHBASS III,Tin tức,scientific research conference for students of the faculty of business administration iuhbass iii,"['scientific', 'research', 'conference', 'student', 'faculty', 'business', 'administration', 'iuhbass', 'iii']",scientific research conference student faculty business administration iuhbass iii
205,Ngành Kỹ thuật điện và Năng lượng tái tạo sau khi ra trường làm gì?,Tin tức,ngành kỹ thuật điện và năng lượng tái tạo sau khi ra trường làm gì,"['ngành', 'kỹ_thuật', 'điện', 'năng_lượng', 'tái_tạo', 'sau', 'ra', 'trường', 'làm', 'gì']",ngành kỹ_thuật điện năng_lượng tái_tạo sau ra trường làm gì,205,The 2nd Student Scientific Research Conference - Faculty of Commerce and Tourism 2021,Tin tức,the nd student scientific research conference faculty of commerce and tourism,"['student', 'scientific', 'research', 'conference', 'faculty', 'commerce', 'tourism']",student scientific research conference faculty commerce tourism
206,Hội nghị sơ kết giữa nhiệm kỳ thực hiện Nghị quyết Đại hội Đảng bộ Trường Đại học Công nghiệp Thành phố Hồ Chí Minh,Tin tức,hội nghị sơ kết giữa nhiệm kỳ thực hiện nghị quyết đại hội đảng bộ trường đại học công nghiệp thành phố hồ chí minh,"['hội_nghị', 'sơ_kết', 'giữa', 'nhiệm_kỳ', 'thực_hiện', 'nghị_quyết', 'đại_hội', 'đảng_bộ', 'trường', 'đại_học', 'công_nghiệp', 'thành_phố', 'hồ', 'chí_minh']",hội_nghị sơ_kết giữa nhiệm_kỳ thực_hiện nghị_quyết đại_hội đảng_bộ trường đại_học công_nghiệp thành_phố hồ chí_minh,206,IUH organizes online internal evaluation of 04 training programs in 2021,Tin tức,iuh organizes online internal evaluation of training programs in,"['iuh', 'organize', 'online', 'internal', 'evaluation', 'training', 'program']",iuh organize online internal evaluation training program
207,IUH ký kết hợp tác toàn diện cùng  Liên hiệp Hợp tác xã Thương mại Thành phố Hồ Chí Minh (Sài Gòn CO.OP),Tin tức,iuh ký kết hợp tác toàn diện cùng liên hiệp hợp tác xã thương mại thành phố hồ chí minh sài gòn co op,"['iuh', 'ký_kết', 'hợp_tác', 'toàn_diện', 'cùng', 'liên_hiệp', 'hợp_tác_xã', 'thương_mại', 'thành_phố', 'hồ', 'chí_minh', 'sài_gòn', 'co', 'op']",iuh ký_kết hợp_tác toàn_diện cùng liên_hiệp hợp_tác_xã thương_mại thành_phố hồ chí_minh sài_gòn co op,207,The Faculty of Finance and Banking organizes the 2021 Student Science Conference,Tin tức,the faculty of finance and banking organizes the student science conference,"['faculty', 'finance', 'banking', 'organizes', 'student', 'science', 'conference']",faculty finance banking organizes student science conference
208,Lộ diện chủ nhân các giải thưởng cuộc thi “Đổi mới sáng tạo Khởi nghiệp lần 2 năm 2022” tại IUH,Tin tức,lộ diện chủ nhân các giải thưởng cuộc thi đổi mới sáng tạo khởi nghiệp lần năm tại iuh,"['lộ', 'diện', 'chủ_nhân', 'giải_thưởng', 'cuộc', 'thi', 'đổi_mới', 'sáng_tạo', 'khởi_nghiệp', 'lần', 'năm', 'iuh']",lộ diện chủ_nhân giải_thưởng cuộc thi đổi_mới sáng_tạo khởi_nghiệp lần năm iuh,208,Training on developing measurement and evaluation indicators (KPIs),Tin tức,training on developing measurement and evaluation indicators kpis,"['train', 'develop', 'measurement', 'evaluation', 'indicator', 'kpis']",train develop measurement evaluation indicator kpis
209,Hội Nghị Khoa Học và công nghệ thực phẩm toàn quốc 2023 - Trường Đại học Công nghiệp Tp.HCM (IUH),Tin tức,hội nghị khoa học và công nghệ thực phẩm toàn quốc trường đại học công nghiệp tp hcm iuh,"['hội_nghị', 'khoa_học', 'công_nghệ', 'thực_phẩm', 'toàn_quốc_trường', 'đại_học', 'công_nghiệp', 'tp', 'hcm', 'iuh']",hội_nghị khoa_học công_nghệ thực_phẩm toàn_quốc_trường đại_học công_nghiệp tp hcm iuh,209,"The 13th Congress of Party Delegates of Ho Chi Minh City University of Industry, term 2020 - 2025: Democracy - Creativity - Solidarity - Integration",Tin tức,the th congress of party delegates of ho chi minh city university of industry term democracy creativity solidarity integration,"['congress', 'party', 'delegate', 'chi', 'minh', 'city', 'university', 'industry', 'term', 'democracy', 'creativity', 'solidarity', 'integration']",congress party delegate chi minh city university industry term democracy creativity solidarity integration
210,Lễ Công bố Quyết định bổ nhiệm viên chức Quản lý,Tin tức,lễ công bố quyết định bổ nhiệm viên chức quản lý,"['lễ', 'công_bố', 'quyết_định', 'bổ_nhiệm', 'viên_chức', 'quản_lý']",lễ công_bố quyết_định bổ_nhiệm viên_chức quản_lý,210,Training in writing self-assessment reports at the educational institution level according to AUN-QA standards,Tin tức,training in writing self assessment reports at the educational institution level according to aun qa standards,"['train', 'write', 'self', 'assessment', 'report', 'educational', 'institution', 'level', 'accord', 'aun', 'standard']",train write self assessment report educational institution level accord aun standard
211,10 sự kiện và thành tựu tiêu biểu năm 2022 của IUH,Tin tức,sự kiện và thành tựu tiêu biểu năm của iuh,"['sự_kiện', 'thành_tựu', 'tiêu_biểu', 'năm', 'iuh']",sự_kiện thành_tựu tiêu_biểu năm iuh,211,Training conference for Euréka Scientific Research Student Award 2020,Tin tức,training conference for eur ka scientific research student award,"['train', 'conference', 'eur', 'scientific', 'research', 'student', 'award']",train conference eur scientific research student award
212,Bế mạc khảo sát chính thức kiểm định chất lượng cơ sở giáo dục Trường Đại học Công nghiệp Thành phố Hồ Chí Minh,Tin tức,bế mạc khảo sát chính thức kiểm định chất lượng cơ sở giáo dục trường đại học công nghiệp thành phố hồ chí minh,"['bế_mạc', 'khảo_sát', 'chính_thức', 'kiểm_định', 'chất_lượng', 'cơ_sở', 'giáo_dục', 'trường', 'đại_học', 'công_nghiệp', 'thành_phố', 'hồ', 'chí_minh']",bế_mạc khảo_sát chính_thức kiểm_định chất_lượng cơ_sở giáo_dục trường đại_học công_nghiệp thành_phố hồ chí_minh,212,Ceremony to announce the decision to appoint and hand over the position of IUH Rector,Tin tức,ceremony to announce the decision to appoint and hand over the position of iuh rector,"['ceremony', 'announce', 'decision', 'appoint', 'hand', 'position', 'iuh', 'rector']",ceremony announce decision appoint hand position iuh rector
213,Khảo sát chính thức kiểm định chất lượng giáo dục chu kỳ 2 tại Trường Đại học Công nghiệp Thành phố Hồ Chí Minh,Tin tức,khảo sát chính thức kiểm định chất lượng giáo dục chu kỳ tại trường đại học công nghiệp thành phố hồ chí minh,"['khảo_sát', 'chính_thức', 'kiểm_định', 'chất_lượng', 'giáo_dục', 'chu_kỳ', 'trường', 'đại_học', 'công_nghiệp', 'thành_phố', 'hồ', 'chí_minh']",khảo_sát chính_thức kiểm_định chất_lượng giáo_dục chu_kỳ trường đại_học công_nghiệp thành_phố hồ chí_minh,213,Conference of IUH officials and employees in 2020,Tin tức,conference of iuh officials and employees in,"['conference', 'iuh', 'official', 'employee']",conference iuh official employee
214,Sinh viên Khoa Công nghệ Điện xuất sắc giành được giải Á Quân và Quý Quân chung cuộc cuộc thi “Ứng dụng phần mềm SCADA GENESIS64 vào việc số hóa nhà máy”,Tin tức,sinh viên khoa công nghệ điện xuất sắc giành được giải á quân và quý quân chung cuộc cuộc thi ứng dụng phần mềm scada genesis vào việc số hóa nhà máy,"['sinh_viên', 'khoa', 'công_nghệ', 'điện', 'xuất_sắc', 'giành', 'giải', 'á_quân', 'quý_quân', 'chung_cuộc', 'cuộc', 'thi', 'ứng_dụng', 'phần_mềm', 'scada_genesis', 'vào', 'việc', 'số', 'hóa', 'nhà_máy']",sinh_viên khoa công_nghệ điện xuất_sắc giành giải á_quân quý_quân chung_cuộc cuộc thi ứng_dụng phần_mềm scada_genesis vào việc số hóa nhà_máy,214,Ceremony to announce the decision to appoint professors and associate professors and award the Labor Medal and Certificate of Merit from the Prime Minister in 2019,Tin tức,ceremony to announce the decision to appoint professors and associate professors and award the labor medal and certificate of merit from the prime minister in,"['ceremony', 'announce', 'decision', 'appoint', 'professor', 'associate', 'professor', 'award', 'labor', 'medal', 'certificate', 'merit', 'prime', 'minister']",ceremony announce decision appoint professor associate professor award labor medal certificate merit prime minister
215,Trường Đại học Công nghiệp Thành phố Hồ Chí Minh tổ chức khảo sát sơ bộ kiểm định chất lượng cơ sở giáo dục chu kỳ 2,Tin tức,trường đại học công nghiệp thành phố hồ chí minh tổ chức khảo sát sơ bộ kiểm định chất lượng cơ sở giáo dục chu kỳ,"['trường', 'đại_học', 'công_nghiệp', 'thành_phố', 'hồ', 'chí_minh', 'tổ_chức', 'khảo_sát', 'sơ_bộ', 'kiểm_định', 'chất_lượng', 'cơ_sở', 'giáo_dục', 'chu_kỳ']",trường đại_học công_nghiệp thành_phố hồ chí_minh tổ_chức khảo_sát sơ_bộ kiểm_định chất_lượng cơ_sở giáo_dục chu_kỳ,215,International conference: Financial autonomy in universities: International experience and application to Vietnam,Tin tức,international conference financial autonomy in universities international experience and application to vietnam,"['international', 'conference', 'financial', 'autonomy', 'university', 'international', 'experience', 'application', 'vietnam']",international conference financial autonomy university international experience application vietnam
216,Mùa hái quả ngọt tại Trường Đại học Công nghiệp Thành phố Hồ Chí Minh,Tin tức,mùa hái quả ngọt tại trường đại học công nghiệp thành phố hồ chí minh,"['mùa', 'hái', 'quả', 'ngọt', 'trường', 'đại_học', 'công_nghiệp', 'thành_phố', 'hồ', 'chí_minh']",mùa hái quả ngọt trường đại_học công_nghiệp thành_phố hồ chí_minh,216,IUH received certification of 04 training programs meeting AUN-QA standards and had a traditional meeting on Vietnamese Teachers' Day November 20,Tin tức,iuh received certification of training programs meeting aun qa standards and had a traditional meeting on vietnamese teachers day november,"['iuh', 'receive', 'certification', 'training', 'program', 'meet', 'aun', 'standard', 'traditional', 'meeting', 'vietnamese', 'teacher', 'day', 'november']",iuh receive certification training program meet aun standard traditional meeting vietnamese teacher day november
217,Hội nghị Quốc tế về Công nghệ tiên tiến trong NN&TP vì sự phát triển bền vững 2022 (FAATSD 2022),Tin tức,hội nghị quốc tế về công nghệ tiên tiến trong nn tp vì sự phát triển bền vững faatsd,"['hội_nghị', 'quốc_tế', 'công_nghệ', 'tiên_tiến', 'nn', 'tp', 'sự', 'phát_triển', 'bền_vững', 'faatsd']",hội_nghị quốc_tế công_nghệ tiên_tiến nn tp sự phát_triển bền_vững faatsd,217,Lecture conference for the 2019 - 2020 school year: Promoting innovation in university teaching methods,Tin tức,lecture conference for the school year promoting innovation in university teaching methods,"['lecture', 'conference', 'school', 'year', 'promote', 'innovation', 'university', 'teach', 'method']",lecture conference school year promote innovation university teach method
218,Hơn 800 nhà khoa học tham dự hội nghị quốc tế về công nghệ tiên tiến và phát triển bền vững,Tin tức,hơn nhà khoa học tham dự hội nghị quốc tế về công nghệ tiên tiến và phát triển bền vững,"['nhà_khoa_học', 'tham_dự', 'hội_nghị', 'quốc_tế', 'công_nghệ', 'tiên_tiến', 'phát_triển', 'bền_vững']",nhà_khoa_học tham_dự hội_nghị quốc_tế công_nghệ tiên_tiến phát_triển bền_vững,218,HaUI visited and learned quality inspection experience at IUH,Tin tức,haui visited and learned quality inspection experience at iuh,"['haui', 'visit', 'learned', 'quality', 'inspection', 'experience', 'iuh']",haui visit learned quality inspection experience iuh
